index,datetime,symbol,signal,strategy
120,2023-01-13 23:07:52.205064-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
121,2023-01-13 23:09:36.202246-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
122,2023-01-13 23:10:42.611856-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
123,2023-01-13 23:10:46.675437-05:00,AGYS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
124,2023-01-13 23:10:51.158527-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
125,2023-01-13 23:11:43.290678-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
126,2023-01-13 23:11:47.205515-05:00,AGYS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
127,2023-01-13 23:11:51.291171-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
128,2023-01-13 23:13:00.897925-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
129,2023-01-13 23:13:06.483071-05:00,AGYS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
130,2023-01-13 23:13:11.464001-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
131,2023-01-13 23:13:16.094682-05:00,PCG,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
132,2023-01-13 23:13:20.777372-05:00,PCG,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
133,2023-01-13 23:13:24.884377-05:00,PCG,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
134,2023-01-13 23:13:29.414447-05:00,TSLA,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
135,2023-01-13 23:13:33.626561-05:00,TSLA,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
136,2023-01-13 23:13:37.668583-05:00,TSLA,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
137,2023-01-14 07:17:24.223904-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
138,2023-01-14 07:17:28.676312-05:00,AGYS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
139,2023-01-14 07:17:33.176904-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
140,2023-01-14 07:17:37.480237-05:00,PCG,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
141,2023-01-14 07:17:41.781369-05:00,PCG,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
142,2023-01-14 07:17:45.905915-05:00,PCG,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
143,2023-01-14 07:17:50.151382-05:00,TSLA,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
144,2023-01-14 07:17:54.068412-05:00,TSLA,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
145,2023-01-14 07:17:57.861136-05:00,TSLA,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
146,2023-01-14 07:18:03.050910-05:00,ADMA,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
147,2023-01-14 07:18:08.932785-05:00,ADMA,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
148,2023-01-14 07:18:13.815790-05:00,ADMA,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
149,2023-01-14 07:18:17.866480-05:00,AGI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
150,2023-01-14 07:18:22.224388-05:00,AGI,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
151,2023-01-14 07:18:26.936329-05:00,AGI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
152,2023-01-14 07:18:30.953734-05:00,AGYS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
153,2023-01-14 07:18:35.371107-05:00,AGYS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
154,2023-01-14 07:18:39.545322-05:00,AGYS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
155,2023-01-14 07:18:43.368380-05:00,ALDX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
156,2023-01-14 07:18:47.225976-05:00,ALDX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
157,2023-01-14 07:18:51.480195-05:00,ALDX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
158,2023-01-14 07:18:55.384208-05:00,AM,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
159,2023-01-14 07:18:59.672132-05:00,AM,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
160,2023-01-14 07:19:04.614082-05:00,AM,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
161,2023-01-14 07:19:09.126535-05:00,AMLX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
162,2023-01-14 07:19:13.269409-05:00,AMLX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
163,2023-01-14 07:19:17.121172-05:00,AMLX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
164,2023-01-14 07:19:21.179343-05:00,AMPY,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
165,2023-01-14 07:19:25.173733-05:00,AMPY,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
166,2023-01-14 07:19:29.170923-05:00,AMPY,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
167,2023-01-14 07:19:33.261575-05:00,ARDX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
168,2023-01-14 07:19:36.993231-05:00,ARDX,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
